"Year","Sex","AgeGroup","Cases"
1992,"Females","55-59",37
1992,"Females","60-64",58
1992,"Females","65-69",83
1992,"Females","70-74",51
1992,"Females","75-79",39
1992,"Females","80-84",32
1992,"Females","85+",31
1991,"Males","0-4",0
1991,"Males","5-9",0
1991,"Males","10-14",1
1991,"Males","15-19",12
1991,"Males","20-24",14
1991,"Males","25-29",25
1991,"Males","30-34",31
1991,"Males","35-39",31
1991,"Males","40-44",50
1991,"Males","45-49",38
1991,"Males","50-54",43
1991,"Males","55-59",51
1991,"Males","60-64",61
1991,"Males","65-69",74
1991,"Males","70-74",46
1991,"Males","75-79",35
1991,"Males","80-84",42
1991,"Males","85+",4
1991,"Females","0-4",0
1991,"Females","5-9",1
1991,"Females","10-14",0
1991,"Females","15-19",13
1991,"Females","20-24",22
1991,"Females","25-29",22
1991,"Females","30-34",37
1991,"Females","35-39",55
1991,"Females","40-44",55
1991,"Females","45-49",40
1991,"Females","50-54",44
1991,"Females","55-59",44
1991,"Females","60-64",54
1991,"Females","65-69",55
1991,"Females","70-74",47
1991,"Females","75-79",40
1991,"Females","80-84",29
1991,"Females","85+",14
1990,"Males","0-4",0
1990,"Males","5-9",0
1990,"Males","10-14",0
1990,"Males","15-19",8
1990,"Males","20-24",11
1990,"Males","25-29",17
1990,"Males","30-34",35
1990,"Males","35-39",38
1990,"Males","40-44",50
1990,"Males","45-49",48
1990,"Males","50-54",62
1990,"Males","55-59",47
1990,"Males","60-64",69
1990,"Males","65-69",61
1990,"Males","70-74",52
1990,"Males","75-79",43
1990,"Males","80-84",20
1990,"Males","85+",19
1990,"Females","0-4",0
1990,"Females","5-9",0
1990,"Females","10-14",1
1990,"Females","15-19",10
1990,"Females","20-24",19
1990,"Females","25-29",18
1990,"Females","30-34",31
1990,"Females","35-39",51
1990,"Females","40-44",46
1990,"Females","45-49",46
1990,"Females","50-54",43
1990,"Females","55-59",31
1990,"Females","60-64",49
1990,"Females","65-69",41
1990,"Females","70-74",49
1990,"Females","75-79",50
1990,"Females","80-84",21
1990,"Females","85+",16
1989,"Males","0-4",0
1989,"Males","5-9",0
1989,"Males","10-14",3
1989,"Males","15-19",11
1989,"Males","20-24",16
1989,"Males","25-29",22
1989,"Males","30-34",28
1989,"Males","35-39",44
1989,"Males","40-44",49
1989,"Males","45-49",40
1989,"Males","50-54",37
1989,"Males","55-59",33
1989,"Males","60-64",72
1989,"Males","65-69",63
1989,"Males","70-74",47
1989,"Males","75-79",43
1989,"Males","80-84",27
1989,"Males","85+",12
1989,"Females","0-4",0
1989,"Females","5-9",0
1989,"Females","10-14",2
1989,"Females","15-19",12
1989,"Females","20-24",23
1989,"Females","25-29",28
1989,"Females","30-34",33
1989,"Females","35-39",55
1989,"Females","40-44",54
1989,"Females","45-49",46
1989,"Females","50-54",40
1989,"Females","55-59",45
1989,"Females","60-64",48
1989,"Females","65-69",55
1989,"Females","70-74",39
1989,"Females","75-79",39
1989,"Females","80-84",25
1989,"Females","85+",17
1988,"Males","0-4",0
1988,"Males","5-9",0
1988,"Males","10-14",0
1988,"Males","15-19",17
1988,"Males","20-24",10
1988,"Males","25-29",31
1988,"Males","30-34",36
1988,"Males","35-39",50
1988,"Males","40-44",33
1988,"Males","45-49",60
1988,"Males","50-54",58
1988,"Males","55-59",50
1988,"Males","60-64",57
1988,"Males","65-69",47
1988,"Males","70-74",50
1988,"Males","75-79",29
1988,"Males","80-84",17
1988,"Males","85+",17
1988,"Females","0-4",0
1988,"Females","5-9",0
1988,"Females","10-14",0
1988,"Females","15-19",9
1988,"Females","20-24",26
1988,"Females","25-29",38
1988,"Females","30-34",39
1988,"Females","35-39",50
1988,"Females","40-44",57
1988,"Females","45-49",52
1988,"Females","50-54",30
1988,"Females","55-59",49
1988,"Females","60-64",54
1988,"Females","65-69",56
1988,"Females","70-74",45
1988,"Females","75-79",29
1988,"Females","80-84",17
1988,"Females","85+",13
1987,"Males","0-4",0
1987,"Males","5-9",0
1987,"Males","10-14",0
1987,"Males","15-19",8
1987,"Males","20-24",13
1987,"Males","25-29",28
1987,"Males","30-34",36
1987,"Males","35-39",38
1987,"Males","40-44",38
1987,"Males","45-49",43
1987,"Males","50-54",33
1987,"Males","55-59",54
1987,"Males","60-64",64
1987,"Males","65-69",45
1987,"Males","70-74",37
1987,"Males","75-79",19
1987,"Males","80-84",22
1987,"Males","85+",3
1987,"Females","0-4",0
1987,"Females","5-9",0
1987,"Females","10-14",1
1987,"Females","15-19",9
1987,"Females","20-24",20
1987,"Females","25-29",35
1987,"Females","30-34",39
1987,"Females","35-39",47
1987,"Females","40-44",46
1987,"Females","45-49",44
1987,"Females","50-54",40
1987,"Females","55-59",46
1987,"Females","60-64",51
1987,"Females","65-69",36
1987,"Females","70-74",33
1987,"Females","75-79",35
1987,"Females","80-84",15
1987,"Females","85+",20
1986,"Males","0-4",0
1986,"Males","5-9",0
1986,"Males","10-14",0
1986,"Males","15-19",13
1986,"Males","20-24",11
1986,"Males","25-29",20
1986,"Males","30-34",31
1986,"Males","35-39",24
1986,"Males","40-44",27
1986,"Males","45-49",34
1986,"Males","50-54",27
1986,"Males","55-59",46
1986,"Males","60-64",35
1986,"Males","65-69",39
1986,"Males","70-74",38
1986,"Males","75-79",15
1986,"Males","80-84",10
1986,"Males","85+",7
1986,"Females","0-4",0
1986,"Females","5-9",0
1986,"Females","10-14",1
1986,"Females","15-19",6
1986,"Females","20-24",16
1986,"Females","25-29",27
1986,"Females","30-34",37
1986,"Females","35-39",46
1986,"Females","40-44",41
1986,"Females","45-49",33
1986,"Females","50-54",32
1986,"Females","55-59",41
1986,"Females","60-64",38
1986,"Females","65-69",40
1986,"Females","70-74",33
1986,"Females","75-79",24
1986,"Females","80-84",20
1986,"Females","85+",18
1985,"Males","0-4",0
1985,"Males","5-9",0
1985,"Males","10-14",0
1985,"Males","15-19",3
1985,"Males","20-24",10
1985,"Males","25-29",19
1985,"Males","30-34",30
1985,"Males","35-39",28
1985,"Males","40-44",35
1985,"Males","45-49",39
1985,"Males","50-54",27
1985,"Males","55-59",46
1985,"Males","60-64",42
1985,"Males","65-69",48
1985,"Males","70-74",29
1985,"Males","75-79",19
1985,"Males","80-84",13
1985,"Males","85+",9
1985,"Females","0-4",0
1985,"Females","5-9",0
1985,"Females","10-14",4
1985,"Females","15-19",4
1985,"Females","20-24",15
1985,"Females","25-29",29
1985,"Females","30-34",43
1985,"Females","35-39",47
1985,"Females","40-44",53
1985,"Females","45-49",38
1985,"Females","50-54",37
1985,"Females","55-59",34
1985,"Females","60-64",48
1985,"Females","65-69",36
1985,"Females","70-74",34
1985,"Females","75-79",24
1985,"Females","80-84",17
1985,"Females","85+",9
1984,"Males","0-4",0
1984,"Males","5-9",0
1984,"Males","10-14",1
1984,"Males","15-19",4
1984,"Males","20-24",10
1984,"Males","25-29",23
1984,"Males","30-34",22
1984,"Males","35-39",27
1984,"Males","40-44",28
1984,"Males","45-49",22
1984,"Males","50-54",25
1984,"Males","55-59",34
1984,"Males","60-64",32
1984,"Males","65-69",43
1984,"Males","70-74",35
1984,"Males","75-79",13
1984,"Males","80-84",9
1984,"Males","85+",3
1984,"Females","0-4",0
1984,"Females","5-9",0
1984,"Females","10-14",0
1984,"Females","15-19",5
1984,"Females","20-24",15
1984,"Females","25-29",34
1984,"Females","30-34",28
1984,"Females","35-39",42
1984,"Females","40-44",35
1984,"Females","45-49",31
1984,"Females","50-54",33
1984,"Females","55-59",40
1984,"Females","60-64",41
1984,"Females","65-69",31
1984,"Females","70-74",38
1984,"Females","75-79",17
1984,"Females","80-84",15
1984,"Females","85+",10
1983,"Males","0-4",0
1983,"Males","5-9",0
1983,"Males","10-14",0
1983,"Males","15-19",4
1983,"Males","20-24",10
1983,"Males","25-29",15
1983,"Males","30-34",23
1983,"Males","35-39",32
1983,"Males","40-44",22
1983,"Males","45-49",23
1983,"Males","50-54",23
1983,"Males","55-59",44
1983,"Males","60-64",38
1983,"Males","65-69",29
1983,"Males","70-74",31
1983,"Males","75-79",17
1983,"Males","80-84",6
1983,"Males","85+",3
1983,"Females","0-4",0
1983,"Females","5-9",0
1983,"Females","10-14",0
1983,"Females","15-19",3
1983,"Females","20-24",13
1983,"Females","25-29",24
1983,"Females","30-34",35
1983,"Females","35-39",34
1983,"Females","40-44",40
1983,"Females","45-49",31
1983,"Females","50-54",31
1983,"Females","55-59",44
1983,"Females","60-64",30
1983,"Females","65-69",34
1983,"Females","70-74",31
1983,"Females","75-79",16
1983,"Females","80-84",22
1983,"Females","85+",14
1982,"Males","0-4",0
1982,"Males","5-9",0
1982,"Males","10-14",0
1982,"Males","15-19",1
1982,"Males","20-24",7
1982,"Males","25-29",15
1982,"Males","30-34",35
1982,"Males","35-39",16
1982,"Males","40-44",20
1982,"Males","45-49",16
1982,"Males","50-54",34
1982,"Males","55-59",31
1982,"Males","60-64",30
1982,"Males","65-69",30
1982,"Males","70-74",24
1982,"Males","75-79",10
1982,"Males","80-84",8
1982,"Males","85+",3
1982,"Females","0-4",0
1982,"Females","5-9",0
1982,"Females","10-14",0
1982,"Females","15-19",6
1982,"Females","20-24",25
1982,"Females","25-29",23
1982,"Females","30-34",34
1982,"Females","35-39",27
1982,"Females","40-44",29
1982,"Females","45-49",29
1982,"Females","50-54",28
1982,"Females","55-59",37
1982,"Females","60-64",23
1982,"Females","65-69",32
1982,"Females","70-74",24
1982,"Females","75-79",25
1982,"Females","80-84",13
1982,"Females","85+",10
