"Group","Category","Male","Female","Persons"
"Adults","2003-04",37.6,44.5,40.7
"Adults","2006-07",42.8,47.1,44.8
"Adults","2010-11",38,47.2,42.1
"Adults","2013-14",42.5,42.3,42.5
"Adults","2016-17",43.1,48.3,45.4
"Adolescents","2003-04",35.4,23.8,30.2
"Adolescents","2006-07",34.2,15.7,25.1
"Adolescents","2010-11",25.1,21.3,23.2
"Adolescents","2013-14",25.6,23.3,24.3
"Adolescents","2016-17",37.9,31.9,35.2
