"Year","Sex","ASR","CrudeRate","AgeGroup","Value"
1989,"Males",3.9,4.7,"35-39",5.5
1989,"Females",2.5,3.2,"35-39",2.4
1988,"Males",4.3,5.1,"35-39",4.9
1988,"Females",2.4,3.4,"35-39",2.5
1987,"Males",4.3,5,"35-39",3.7
1987,"Females",2.2,3.3,"35-39",4.3
1986,"Males",3.4,4,"35-39",4.3
1986,"Females",2.3,3,"35-39",3.7
1985,"Males",3.2,3.7,"35-39",3.1
1985,"Females",2.8,3.6,"35-39",2.5
1984,"Males",3.9,4.3,"35-39",1.3
1984,"Females",2.1,3.1,"35-39",2.6
1983,"Males",4,4.6,"35-39",4.7
1983,"Females",2.9,3.9,"35-39",0
1982,"Males",3.7,4.1,"35-39",3.5
1982,"Females",2.4,3.1,"35-39",2.2
2021,"Males",2.4,5.6,"40-44",0.5
2021,"Females",1.3,3.2,"40-44",1.4
2020,"Males",2.4,5.5,"40-44",0.5
2020,"Females",1,2.6,"40-44",1.4
2019,"Males",2.9,5.8,"40-44",1.4
2019,"Females",1.1,2.4,"40-44",0
2018,"Males",3.1,6.2,"40-44",1
2018,"Females",1.2,2.8,"40-44",1
2017,"Males",2.6,5.2,"40-44",0.5
2017,"Females",1.6,3.5,"40-44",1.9
2016,"Males",3,5.8,"40-44",2.4
2016,"Females",1.4,2.7,"40-44",2.4
2015,"Males",3.8,7.3,"40-44",1
2015,"Females",1.8,3.6,"40-44",3.3
2014,"Males",3.5,6.6,"40-44",1
2014,"Females",1.4,3,"40-44",0.5
2013,"Males",5,8.8,"40-44",2
2013,"Females",2,4.1,"40-44",2.3
2012,"Males",4,7.6,"40-44",1.5
2012,"Females",1.8,3.6,"40-44",2.4
2011,"Males",4.7,8,"40-44",4.1
2011,"Females",2,3.8,"40-44",1.5
2010,"Males",4.5,7.7,"40-44",1.6
2010,"Females",1.7,3.4,"40-44",0.5
2009,"Males",4.9,8.3,"40-44",2.7
2009,"Females",1.8,3.6,"40-44",1.6
2008,"Males",4.3,7.2,"40-44",2.2
2008,"Females",1.8,3.5,"40-44",3.2
2007,"Males",4.5,7.4,"40-44",2.7
2007,"Females",2,3.6,"40-44",1.1
2006,"Males",4,6.8,"40-44",4.3
2006,"Females",2.2,4.1,"40-44",0.5
2005,"Males",3.9,6.3,"40-44",2.7
2005,"Females",1.9,3.3,"40-44",2.6
2004,"Males",4.6,7.2,"40-44",4.3
2004,"Females",2,3.6,"40-44",1.1
2003,"Males",4.2,6.5,"40-44",3.8
2003,"Females",1.9,3.2,"40-44",1.6
2002,"Males",3.6,5.6,"40-44",1.6
2002,"Females",1.9,3.4,"40-44",2.1
2001,"Males",3.7,5.5,"40-44",2.8
2001,"Females",2,3.4,"40-44",3.3
2000,"Males",3.7,5.6,"40-44",3.4
2000,"Females",2.2,3.7,"40-44",3.9
1999,"Males",3.6,5.1,"40-44",4.1
1999,"Females",2.3,3.5,"40-44",3.4
1998,"Males",4.3,6,"40-44",3
1998,"Females",2.1,3.6,"40-44",1.2
1997,"Males",4,5.5,"40-44",5.4
1997,"Females",2.1,3.5,"40-44",1.8
1996,"Males",4.3,5.9,"40-44",1.8
1996,"Females",1.5,2.9,"40-44",1.8
1995,"Males",4.5,5.8,"40-44",4.9
1995,"Females",2.7,4.1,"40-44",3
1994,"Males",4.1,5.3,"40-44",5.6
1994,"Females",1.9,2.9,"40-44",1.2
1993,"Males",4.2,5.4,"40-44",7.4
1993,"Females",1.9,2.9,"40-44",3.1
1992,"Males",3.9,4.9,"40-44",3.1
1992,"Females",2.5,3.6,"40-44",2.5
1991,"Males",3.8,4.8,"40-44",5.5
1991,"Females",2.3,3.2,"40-44",1.8
1990,"Males",4,4.8,"40-44",2.5
1990,"Females",2.3,3.3,"40-44",2.5
1989,"Males",3.9,4.7,"40-44",6.4
1989,"Females",2.5,3.2,"40-44",6.6
1988,"Males",4.3,5.1,"40-44",3.3
1988,"Females",2.4,3.4,"40-44",3.4
1987,"Males",4.3,5,"40-44",2.8
1987,"Females",2.2,3.3,"40-44",1.4
1986,"Males",3.4,4,"40-44",5.3
1986,"Females",2.3,3,"40-44",2.3
1985,"Males",3.2,3.7,"40-44",2.4
1985,"Females",2.8,3.6,"40-44",4.9
1984,"Males",3.9,4.3,"40-44",5.7
1984,"Females",2.1,3.1,"40-44",2.5
1983,"Males",4,4.6,"40-44",4.2
1983,"Females",2.9,3.9,"40-44",7.9
1982,"Males",3.7,4.1,"40-44",1.7
1982,"Females",2.4,3.1,"40-44",1.8
2021,"Males",2.4,5.6,"45-49",1.4
2021,"Females",1.3,3.2,"45-49",3.3
2020,"Males",2.4,5.5,"45-49",0
2020,"Females",1,2.6,"45-49",0.9
2019,"Males",2.9,5.8,"45-49",2.9
2019,"Females",1.1,2.4,"45-49",0.9
2018,"Males",3.1,6.2,"45-49",4.8
2018,"Females",1.2,2.8,"45-49",1.4
2017,"Males",2.6,5.2,"45-49",1.9
2017,"Females",1.6,3.5,"45-49",1.8
2016,"Males",3,5.8,"45-49",3
2016,"Females",1.4,2.7,"45-49",0
2015,"Males",3.8,7.3,"45-49",2.1
2015,"Females",1.8,3.6,"45-49",2.9
2014,"Males",3.5,6.6,"45-49",2.6
2014,"Females",1.4,3,"45-49",1.5
2013,"Males",5,8.8,"45-49",4.8
2013,"Females",2,4.1,"45-49",3.1
2012,"Males",4,7.6,"45-49",3.2
2012,"Females",1.8,3.6,"45-49",1.6
2011,"Males",4.7,8,"45-49",3.2
2011,"Females",2,3.8,"45-49",4.2
2010,"Males",4.5,7.7,"45-49",4.8
2010,"Females",1.7,3.4,"45-49",0.5
2009,"Males",4.9,8.3,"45-49",3.7
2009,"Females",1.8,3.6,"45-49",1.6
2008,"Males",4.3,7.2,"45-49",2.7
2008,"Females",1.8,3.5,"45-49",2.6
2007,"Males",4.5,7.4,"45-49",7.7
2007,"Females",2,3.6,"45-49",3.2
2006,"Males",4,6.8,"45-49",3.9
2006,"Females",2.2,4.1,"45-49",3.3
2005,"Males",3.9,6.3,"45-49",1.7
2005,"Females",1.9,3.3,"45-49",1.1
2004,"Males",4.6,7.2,"45-49",7.5
2004,"Females",2,3.6,"45-49",4
2003,"Males",4.2,6.5,"45-49",2.4
2003,"Females",1.9,3.2,"45-49",4.1
2002,"Males",3.6,5.6,"45-49",3
2002,"Females",1.9,3.4,"45-49",3.5
2001,"Males",3.7,5.5,"45-49",4.3
2001,"Females",2,3.4,"45-49",1.8
2000,"Males",3.7,5.6,"45-49",5.6
2000,"Females",2.2,3.7,"45-49",4.2
1999,"Males",3.6,5.1,"45-49",4.4
1999,"Females",2.3,3.5,"45-49",2.4
1998,"Males",4.3,6,"45-49",4.4
1998,"Females",2.1,3.6,"45-49",6.2
1997,"Males",4,5.5,"45-49",5.7
1997,"Females",2.1,3.5,"45-49",3.8
1996,"Males",4.3,5.9,"45-49",4.4
1996,"Females",1.5,2.9,"45-49",0.6
1995,"Males",4.5,5.8,"45-49",6.5
1995,"Females",2.7,4.1,"45-49",5.2
1994,"Males",4.1,5.3,"45-49",3.3
1994,"Females",1.9,2.9,"45-49",2
1993,"Males",4.2,5.4,"45-49",7.5
1993,"Females",1.9,2.9,"45-49",2.8
1992,"Males",3.9,4.9,"45-49",8.6
1992,"Females",2.5,3.6,"45-49",6.6
1991,"Males",3.8,4.8,"45-49",4.5
1991,"Females",2.3,3.2,"45-49",4.7
1990,"Males",4,4.8,"45-49",8.7
1990,"Females",2.3,3.3,"45-49",2.5
1989,"Males",3.9,4.7,"45-49",6.5
1989,"Females",2.5,3.2,"45-49",6
1988,"Males",4.3,5.1,"45-49",5.1
1988,"Females",2.4,3.4,"45-49",4.4
1987,"Males",4.3,5,"45-49",5.2
1987,"Females",2.2,3.3,"45-49",1.8
1986,"Males",3.4,4,"45-49",8.9
1986,"Females",2.3,3,"45-49",4.7
1985,"Males",3.2,3.7,"45-49",4.6
1985,"Females",2.8,3.6,"45-49",6.7
1984,"Males",3.9,4.3,"45-49",9.4
1984,"Females",2.1,3.1,"45-49",4.9
1983,"Males",4,4.6,"45-49",4.8
1983,"Females",2.9,3.9,"45-49",5
1982,"Males",3.7,4.1,"45-49",7.9
1982,"Females",2.4,3.1,"45-49",2
2021,"Males",2.4,5.6,"50-54",2.5
2021,"Females",1.3,3.2,"50-54",0.9
2020,"Males",2.4,5.5,"50-54",2
2020,"Females",1,2.6,"50-54",1.9
2019,"Males",2.9,5.8,"50-54",4.2
2019,"Females",1.1,2.4,"50-54",3.5
2018,"Males",3.1,6.2,"50-54",4.2
2018,"Females",1.2,2.8,"50-54",1.5
2017,"Males",2.6,5.2,"50-54",1.6
2017,"Females",1.6,3.5,"50-54",2
2016,"Males",3,5.8,"50-54",6.9
2016,"Females",1.4,2.7,"50-54",3
2015,"Males",3.8,7.3,"50-54",4.8
2015,"Females",1.8,3.6,"50-54",2
2014,"Males",3.5,6.6,"50-54",4.2
2014,"Females",1.4,3,"50-54",2.6
2013,"Males",5,8.8,"50-54",11.3
2013,"Females",2,4.1,"50-54",3.6
2012,"Males",4,7.6,"50-54",3.8
2012,"Females",1.8,3.6,"50-54",2.1
2011,"Males",4.7,8,"50-54",8.9
2011,"Females",2,3.8,"50-54",2.2
2010,"Males",4.5,7.7,"50-54",6.3
2010,"Females",1.7,3.4,"50-54",2.2
2009,"Males",4.9,8.3,"50-54",9.3
2009,"Females",1.8,3.6,"50-54",1.1
2008,"Males",4.3,7.2,"50-54",7.7
2008,"Females",1.8,3.5,"50-54",2.3
2007,"Males",4.5,7.4,"50-54",3.6
2007,"Females",2,3.6,"50-54",3
2006,"Males",4,6.8,"50-54",4.3
2006,"Females",2.2,4.1,"50-54",5.4
2005,"Males",3.9,6.3,"50-54",6.3
2005,"Females",1.9,3.3,"50-54",5.5
2004,"Males",4.6,7.2,"50-54",7.6
2004,"Females",2,3.6,"50-54",2.5
2003,"Males",4.2,6.5,"50-54",6.4
2003,"Females",1.9,3.2,"50-54",2.5
2002,"Males",3.6,5.6,"50-54",6.5
2002,"Females",1.9,3.4,"50-54",1.9
2001,"Males",3.7,5.5,"50-54",5.1
2001,"Females",2,3.4,"50-54",4.4
2000,"Males",3.7,5.6,"50-54",8.6
2000,"Females",2.2,3.7,"50-54",2.6
1999,"Males",3.6,5.1,"50-54",6.1
1999,"Females",2.3,3.5,"50-54",4.1
1998,"Males",4.3,6,"50-54",7.7
1998,"Females",2.1,3.6,"50-54",0.7
1997,"Males",4,5.5,"50-54",8.1
1997,"Females",2.1,3.5,"50-54",1.5
1996,"Males",4.3,5.9,"50-54",7.9
1996,"Females",1.5,2.9,"50-54",5.7
1995,"Males",4.5,5.8,"50-54",9.9
1995,"Females",2.7,4.1,"50-54",6.7
1994,"Males",4.1,5.3,"50-54",5.1
1994,"Females",1.9,2.9,"50-54",3.5
1993,"Males",4.2,5.4,"50-54",7
1993,"Females",1.9,2.9,"50-54",2.7
1992,"Males",3.9,4.9,"50-54",7.1
1992,"Females",2.5,3.6,"50-54",7.4
1991,"Males",3.8,4.8,"50-54",10.8
1991,"Females",2.3,3.2,"50-54",2.8
1990,"Males",4,4.8,"50-54",6.5
1990,"Females",2.3,3.3,"50-54",3.8
1989,"Males",3.9,4.7,"50-54",10.5
1989,"Females",2.5,3.2,"50-54",5.9
1988,"Males",4.3,5.1,"50-54",8.7
1988,"Females",2.4,3.4,"50-54",6
1987,"Males",4.3,5,"50-54",5.9
1987,"Females",2.2,3.3,"50-54",3.1
1986,"Males",3.4,4,"50-54",3
1986,"Females",2.3,3,"50-54",4.2
1985,"Males",3.2,3.7,"50-54",7
1985,"Females",2.8,3.6,"50-54",7.3
1984,"Males",3.9,4.3,"50-54",8.9
1984,"Females",2.1,3.1,"50-54",1
1983,"Males",4,4.6,"50-54",11.7
1983,"Females",2.9,3.9,"50-54",7.1
1982,"Males",3.7,4.1,"50-54",8.6
1982,"Females",2.4,3.1,"50-54",5
2021,"Males",2.4,5.6,"55-59",4.3
2021,"Females",1.3,3.2,"55-59",2.5
2020,"Males",2.4,5.5,"55-59",3.7
2020,"Females",1,2.6,"55-59",2
2019,"Males",2.9,5.8,"55-59",4.8
2019,"Females",1.1,2.4,"55-59",3
2018,"Males",3.1,6.2,"55-59",3.8
2018,"Females",1.2,2.8,"55-59",1.5
2017,"Males",2.6,5.2,"55-59",6.6
2017,"Females",1.6,3.5,"55-59",2.6
2016,"Males",3,5.8,"55-59",6.2
2016,"Females",1.4,2.7,"55-59",3.7
2015,"Males",3.8,7.3,"55-59",9.7
2015,"Females",1.8,3.6,"55-59",5.5
2014,"Males",3.5,6.6,"55-59",7
2014,"Females",1.4,3,"55-59",3.9
2013,"Males",5,8.8,"55-59",9.6
2013,"Females",2,4.1,"55-59",4
2012,"Males",4,7.6,"55-59",8.6
2012,"Females",1.8,3.6,"55-59",6.5
2011,"Males",4.7,8,"55-59",11.2
2011,"Females",2,3.8,"55-59",4.2
2010,"Males",4.5,7.7,"55-59",8.3
2010,"Females",1.7,3.4,"55-59",7.4
2009,"Males",4.9,8.3,"55-59",8.5
2009,"Females",1.8,3.6,"55-59",6.9
2008,"Males",4.3,7.2,"55-59",9.9
2008,"Females",1.8,3.5,"55-59",1.9
2007,"Males",4.5,7.4,"55-59",16
2007,"Females",2,3.6,"55-59",3.2
2006,"Males",4,6.8,"55-59",10
2006,"Females",2.2,4.1,"55-59",6.4
2005,"Males",3.9,6.3,"55-59",12.2
2005,"Females",1.9,3.3,"55-59",6
2004,"Males",4.6,7.2,"55-59",7.7
2004,"Females",2,3.6,"55-59",3.5
2003,"Males",4.2,6.5,"55-59",6.5
2003,"Females",1.9,3.2,"55-59",5.7
2002,"Males",3.6,5.6,"55-59",7.6
2002,"Females",1.9,3.4,"55-59",5.3
2001,"Males",3.7,5.5,"55-59",6.5
2001,"Females",2,3.4,"55-59",3.3
2000,"Males",3.7,5.6,"55-59",5.1
2000,"Females",2.2,3.7,"55-59",3.4
1999,"Males",3.6,5.1,"55-59",11.4
1999,"Females",2.3,3.5,"55-59",4.5
1998,"Males",4.3,6,"55-59",9.1
1998,"Females",2.1,3.6,"55-59",4.6
1997,"Males",4,5.5,"55-59",11.2
1997,"Females",2.1,3.5,"55-59",2.8
1996,"Males",4.3,5.9,"55-59",8.6
1996,"Females",1.5,2.9,"55-59",1.9
1995,"Males",4.5,5.8,"55-59",11.8
1995,"Females",2.7,4.1,"55-59",4
1994,"Males",4.1,5.3,"55-59",13.1
1994,"Females",1.9,2.9,"55-59",4
1993,"Males",4.2,5.4,"55-59",13.3
1993,"Females",1.9,2.9,"55-59",7.2
1992,"Males",3.9,4.9,"55-59",11.4
1992,"Females",2.5,3.6,"55-59",2.1
1991,"Males",3.8,4.8,"55-59",9.4
1991,"Females",2.3,3.2,"55-59",5.3
1990,"Males",4,4.8,"55-59",13.6
1990,"Females",2.3,3.3,"55-59",3.2
1989,"Males",3.9,4.7,"55-59",6.2
1989,"Females",2.5,3.2,"55-59",6.3
1988,"Males",4.3,5.1,"55-59",12.1
1988,"Females",2.4,3.4,"55-59",9.4
1987,"Males",4.3,5,"55-59",9.9
1987,"Females",2.2,3.3,"55-59",4.1
1986,"Males",3.4,4,"55-59",6.9
1986,"Females",2.3,3,"55-59",2
1985,"Males",3.2,3.7,"55-59",7.8
1985,"Females",2.8,3.6,"55-59",8
1984,"Males",3.9,4.3,"55-59",11.7
1984,"Females",2.1,3.1,"55-59",5
1983,"Males",4,4.6,"55-59",11.8
1983,"Females",2.9,3.9,"55-59",10.9
1982,"Males",3.7,4.1,"55-59",7
1982,"Females",2.4,3.1,"55-59",4
2021,"Males",2.4,5.6,"60-64",8
2021,"Females",1.3,3.2,"60-64",2.1
2020,"Males",2.4,5.5,"60-64",8
2020,"Females",1,2.6,"60-64",2.7
2019,"Males",2.9,5.8,"60-64",6.5
2019,"Females",1.1,2.4,"60-64",3.9
2018,"Males",3.1,6.2,"60-64",12.2
2018,"Females",1.2,2.8,"60-64",2.9
2017,"Males",2.6,5.2,"60-64",10
2017,"Females",1.6,3.5,"60-64",4.7
2016,"Males",3,5.8,"60-64",6.4
2016,"Females",1.4,2.7,"60-64",3.6
2015,"Males",3.8,7.3,"60-64",16.3
2015,"Females",1.8,3.6,"60-64",5.5
2014,"Males",3.5,6.6,"60-64",14.6
2014,"Females",1.4,3,"60-64",3.8
2013,"Males",5,8.8,"60-64",16.9
2013,"Females",2,4.1,"60-64",6.4
2012,"Males",4,7.6,"60-64",13.7
2012,"Females",1.8,3.6,"60-64",5.3
2011,"Males",4.7,8,"60-64",16.5
2011,"Females",2,3.8,"60-64",8.6
2010,"Males",4.5,7.7,"60-64",23.1
2010,"Females",1.7,3.4,"60-64",9.5
2009,"Males",4.9,8.3,"60-64",15.9
2009,"Females",1.8,3.6,"60-64",4.9
2008,"Males",4.3,7.2,"60-64",7.5
2008,"Females",1.8,3.5,"60-64",5.8
2007,"Males",4.5,7.4,"60-64",18.9
2007,"Females",2,3.6,"60-64",5.4
2006,"Males",4,6.8,"60-64",10.1
2006,"Females",2.2,4.1,"60-64",8.3
2005,"Males",3.9,6.3,"60-64",13.3
2005,"Females",1.9,3.3,"60-64",5.3
2004,"Males",4.6,7.2,"60-64",11.9
2004,"Females",2,3.6,"60-64",7.3
2003,"Males",4.2,6.5,"60-64",16
2003,"Females",1.9,3.2,"60-64",8.5
2002,"Males",3.6,5.6,"60-64",11.6
2002,"Females",1.9,3.4,"60-64",6.7
2001,"Males",3.7,5.5,"60-64",12.8
2001,"Females",2,3.4,"60-64",7.9
2000,"Males",3.7,5.6,"60-64",13.2
2000,"Females",2.2,3.7,"60-64",7
1999,"Males",3.6,5.1,"60-64",12.6
1999,"Females",2.3,3.5,"60-64",8.2
1998,"Males",4.3,6,"60-64",21.5
1998,"Females",2.1,3.6,"60-64",8.4
1997,"Males",4,5.5,"60-64",12.1
1997,"Females",2.1,3.5,"60-64",8.6
1996,"Males",4.3,5.9,"60-64",15.6
1996,"Females",1.5,2.9,"60-64",5.4
1995,"Males",4.5,5.8,"60-64",16.6
1995,"Females",2.7,4.1,"60-64",9.8
1994,"Males",4.1,5.3,"60-64",21.9
1994,"Females",1.9,2.9,"60-64",8.6
1993,"Males",4.2,5.4,"60-64",14.1
1993,"Females",1.9,2.9,"60-64",6.4
1992,"Males",3.9,4.9,"60-64",11.7
1992,"Females",2.5,3.6,"60-64",8.4
1991,"Males",3.8,4.8,"60-64",6.3
1991,"Females",2.3,3.2,"60-64",12.4
1990,"Males",4,4.8,"60-64",8.3
1990,"Females",2.3,3.3,"60-64",8.2
1989,"Males",3.9,4.7,"60-64",10.5
1989,"Females",2.5,3.2,"60-64",8.2
1988,"Males",4.3,5.1,"60-64",13.8
1988,"Females",2.4,3.4,"60-64",2
1987,"Males",4.3,5,"60-64",23.7
1987,"Females",2.2,3.3,"60-64",10.2
1986,"Males",3.4,4,"60-64",12
1986,"Females",2.3,3,"60-64",10.2
1985,"Males",3.2,3.7,"60-64",8.9
1985,"Females",2.8,3.6,"60-64",10.3
1984,"Males",3.9,4.3,"60-64",12.5
1984,"Females",2.1,3.1,"60-64",6.3
1983,"Males",4,4.6,"60-64",15.6
1983,"Females",2.9,3.9,"60-64",8.8
1982,"Males",3.7,4.1,"60-64",8.8
1982,"Females",2.4,3.1,"60-64",6.9
2021,"Males",2.4,5.6,"65-69",11.8
2021,"Females",1.3,3.2,"65-69",4.2
2020,"Males",2.4,5.5,"65-69",11.3
2020,"Females",1,2.6,"65-69",4.3
2019,"Males",2.9,5.8,"65-69",11.6
2019,"Females",1.1,2.4,"65-69",2.5
2018,"Males",3.1,6.2,"65-69",11.1
2018,"Females",1.2,2.8,"65-69",4.5
2017,"Males",2.6,5.2,"65-69",13.2
2017,"Females",1.6,3.5,"65-69",8.5
2016,"Males",3,5.8,"65-69",13.9
2016,"Females",1.4,2.7,"65-69",7.3
2015,"Males",3.8,7.3,"65-69",17.2
2015,"Females",1.8,3.6,"65-69",1.4
2014,"Males",3.5,6.6,"65-69",12.6
2014,"Females",1.4,3,"65-69",3.6
2013,"Males",5,8.8,"65-69",29.3
2013,"Females",2,4.1,"65-69",8.1
2012,"Males",4,7.6,"65-69",18
2012,"Females",1.8,3.6,"65-69",9.4
2011,"Males",4.7,8,"65-69",14
2011,"Females",2,3.8,"65-69",6.7
2010,"Males",4.5,7.7,"65-69",23
2010,"Females",1.7,3.4,"65-69",7.1
2009,"Males",4.9,8.3,"65-69",23.9
2009,"Females",1.8,3.6,"65-69",6.5
2008,"Males",4.3,7.2,"65-69",22.9
2008,"Females",1.8,3.5,"65-69",7.7
2007,"Males",4.5,7.4,"65-69",17.4
2007,"Females",2,3.6,"65-69",3
2006,"Males",4,6.8,"65-69",15.9
2006,"Females",2.2,4.1,"65-69",6.1
2005,"Males",3.9,6.3,"65-69",19.6
2005,"Females",1.9,3.3,"65-69",9.4
2004,"Males",4.6,7.2,"65-69",23.6
2004,"Females",2,3.6,"65-69",6.4
2003,"Males",4.2,6.5,"65-69",20.7
2003,"Females",1.9,3.2,"65-69",9.8
2002,"Males",3.6,5.6,"65-69",24.6
2002,"Females",1.9,3.4,"65-69",5.5
2001,"Males",3.7,5.5,"65-69",17.9
2001,"Females",2,3.4,"65-69",6.8
2000,"Males",3.7,5.6,"65-69",18
2000,"Females",2.2,3.7,"65-69",7.9
1999,"Males",3.6,5.1,"65-69",10.7
1999,"Females",2.3,3.5,"65-69",11.2
1998,"Males",4.3,6,"65-69",15.3
1998,"Females",2.1,3.6,"65-69",6.7
1997,"Males",4,5.5,"65-69",25.7
1997,"Females",2.1,3.5,"65-69",10
1996,"Males",4.3,5.9,"65-69",29.1
1996,"Females",1.5,2.9,"65-69",4.4
1995,"Males",4.5,5.8,"65-69",18.7
1995,"Females",2.7,4.1,"65-69",12
1994,"Males",4.1,5.3,"65-69",16.5
1994,"Females",1.9,2.9,"65-69",9.8
1993,"Males",4.2,5.4,"65-69",9.4
1993,"Females",1.9,2.9,"65-69",5.4
1992,"Males",3.9,4.9,"65-69",15.6
1992,"Females",2.5,3.6,"65-69",9.7
1991,"Males",3.8,4.8,"65-69",14.6
1991,"Females",2.3,3.2,"65-69",6.5
1990,"Males",4,4.8,"65-69",13.7
1990,"Females",2.3,3.3,"65-69",7.7
1989,"Males",3.9,4.7,"65-69",15.3
1989,"Females",2.5,3.2,"65-69",8.9
1988,"Males",4.3,5.1,"65-69",16.1
1988,"Females",2.4,3.4,"65-69",8.2
1987,"Males",4.3,5,"65-69",16.9
1987,"Females",2.2,3.3,"65-69",3.7
1986,"Males",3.4,4,"65-69",10.3
1986,"Females",2.3,3,"65-69",8.9
1985,"Males",3.2,3.7,"65-69",13.9
1985,"Females",2.8,3.6,"65-69",5.3
1984,"Males",3.9,4.3,"65-69",22
1984,"Females",2.1,3.1,"65-69",8
1983,"Males",4,4.6,"65-69",10.8
1983,"Females",2.9,3.9,"65-69",7.9
1982,"Males",3.7,4.1,"65-69",19.8
1982,"Females",2.4,3.1,"65-69",11.7
2021,"Males",2.4,5.6,"70-74",17
2021,"Females",1.3,3.2,"70-74",13
2020,"Males",2.4,5.5,"70-74",12.8
2020,"Females",1,2.6,"70-74",3.5
2019,"Males",2.9,5.8,"70-74",28.4
2019,"Females",1.1,2.4,"70-74",6.7
2018,"Males",3.1,6.2,"70-74",25.4
2018,"Females",1.2,2.8,"70-74",7.7
2017,"Males",2.6,5.2,"70-74",19.9
2017,"Females",1.6,3.5,"70-74",10.7
2016,"Males",3,5.8,"70-74",16.8
2016,"Females",1.4,2.7,"70-74",8.8
2015,"Males",3.8,7.3,"70-74",19.6
2015,"Females",1.8,3.6,"70-74",11.1
2014,"Males",3.5,6.6,"70-74",25.5
2014,"Females",1.4,3,"70-74",16.3
2013,"Males",5,8.8,"70-74",30.8
2013,"Females",2,4.1,"70-74",14
2012,"Males",4,7.6,"70-74",34.9
2012,"Females",1.8,3.6,"70-74",10.3
2011,"Males",4.7,8,"70-74",36.2
2011,"Females",2,3.8,"70-74",9.6
2010,"Males",4.5,7.7,"70-74",32.8
2010,"Females",1.7,3.4,"70-74",12
2009,"Males",4.9,8.3,"70-74",32.9
2009,"Females",1.8,3.6,"70-74",7.8
2008,"Males",4.3,7.2,"70-74",39
2008,"Females",1.8,3.5,"70-74",10.3
2007,"Males",4.5,7.4,"70-74",20.7
2007,"Females",2,3.6,"70-74",12.9
2006,"Males",4,6.8,"70-74",27.8
2006,"Females",2.2,4.1,"70-74",12
2005,"Males",3.9,6.3,"70-74",22.7
2005,"Females",1.9,3.3,"70-74",8.5
2004,"Males",4.6,7.2,"70-74",26.6
2004,"Females",2,3.6,"70-74",13.2
2003,"Males",4.2,6.5,"70-74",23.8
2003,"Females",1.9,3.2,"70-74",10.7
2002,"Males",3.6,5.6,"70-74",24.9
2002,"Females",1.9,3.4,"70-74",13
2001,"Males",3.7,5.5,"70-74",26.1
2001,"Females",2,3.4,"70-74",10.5
2000,"Males",3.7,5.6,"70-74",31.6
2000,"Females",2.2,3.7,"70-74",9.3
1999,"Males",3.6,5.1,"70-74",28.2
1999,"Females",2.3,3.5,"70-74",8.1
1998,"Males",4.3,6,"70-74",30.1
1998,"Females",2.1,3.6,"70-74",12.8
1997,"Males",4,5.5,"70-74",21
1997,"Females",2.1,3.5,"70-74",17.6
1996,"Males",4.3,5.9,"70-74",22.9
1996,"Females",1.5,2.9,"70-74",10.6
1995,"Males",4.5,5.8,"70-74",26.3
1995,"Females",2.7,4.1,"70-74",16.7
1994,"Males",4.1,5.3,"70-74",29.9
1994,"Females",1.9,2.9,"70-74",9.7
1993,"Males",4.2,5.4,"70-74",28.4
1993,"Females",1.9,2.9,"70-74",12.7
1992,"Males",3.9,4.9,"70-74",21.6
1992,"Females",2.5,3.6,"70-74",14.6
1991,"Males",3.8,4.8,"70-74",19.1
1991,"Females",2.3,3.2,"70-74",12.4
1990,"Males",4,4.8,"70-74",25.5
1990,"Females",2.3,3.3,"70-74",11.5
1989,"Males",3.9,4.7,"70-74",22.4
1989,"Females",2.5,3.2,"70-74",10.3
1988,"Males",4.3,5.1,"70-74",16.7
1988,"Females",2.4,3.4,"70-74",10.1
1987,"Males",4.3,5,"70-74",21.9
1987,"Females",2.2,3.3,"70-74",14.2
1986,"Males",3.4,4,"70-74",14.8
1986,"Females",2.3,3,"70-74",8.6
1985,"Males",3.2,3.7,"70-74",20.5
1985,"Females",2.8,3.6,"70-74",8.7
1984,"Males",3.9,4.3,"70-74",11.4
1984,"Females",2.1,3.1,"70-74",14.8
1983,"Males",4,4.6,"70-74",17.8
1983,"Females",2.9,3.9,"70-74",9.2
1982,"Males",3.7,4.1,"70-74",18.5
1982,"Females",2.4,3.1,"70-74",17.3
2021,"Males",2.4,5.6,"75-79",36.4
2021,"Females",1.3,3.2,"75-79",11.3
2020,"Males",2.4,5.5,"75-79",30.5
2020,"Females",1,2.6,"75-79",11.8
2019,"Males",2.9,5.8,"75-79",29.8
2019,"Females",1.1,2.4,"75-79",8.2
2018,"Males",3.1,6.2,"75-79",33.4
2018,"Females",1.2,2.8,"75-79",18.2
2017,"Males",2.6,5.2,"75-79",25.9
2017,"Females",1.6,3.5,"75-79",9.9
2016,"Males",3,5.8,"75-79",25.7
2016,"Females",1.4,2.7,"75-79",12.5
2015,"Males",3.8,7.3,"75-79",45.1
2015,"Females",1.8,3.6,"75-79",16.3
2014,"Males",3.5,6.6,"75-79",41.3
2014,"Females",1.4,3,"75-79",6
2013,"Males",5,8.8,"75-79",57
2013,"Females",2,4.1,"75-79",7.4
2012,"Males",4,7.6,"75-79",56
2012,"Females",1.8,3.6,"75-79",19
2011,"Males",4.7,8,"75-79",38.1
2011,"Females",2,3.8,"75-79",15.5
2010,"Males",4.5,7.7,"75-79",37.1
2010,"Females",1.7,3.4,"75-79",9.1
